code,name
1,Alikan
2,Barbara
3,Filad
4,Filad +
5,Genoa
6,Halina1
7,Halina2
8,Halina3
9,Halina32
10,Halina4
11,Halina6
12,IMA1
13,IMA1.15
14,IMA1_PL
15,IMA1+Волна1
16,IrenPL
17,Jork
18,Katar
19,KATE
20,KateSZ
21,Lokarno
22,MG-12
23,MG-3
24,Miami
25,Mold
26,Mold_D
27,Neman
28,Niko
29,NikoSZ
30,Orbit
31,Orbit2
32,Prizma
33,PrizmaPL
34,Proto
35,"L" ручка
36,"u" ручка
37,Rein
38,Roza
39,Saha
40,Silver
41,StarPL
42,VaviPL
43,VidPL
44,Vienna
45,Vienna"X"
46,Vienna+
47,ViennaGB
48,ViennaGE
49,ViennaGL
50,ViennaGS
51,ViennaPL
52,ViennaPL"H"
53,ViennaPL"X"
54,ViennaR
55,Viking
56,Viking60
57,Viking70
58,Брава
59,Вегас
60,Вегас_BES
61,Вегас_NES
62,Волна
63,Волна1
64,Волна2
65,Волна3
66,Волна5
67,Волна6
68,ВолнаТ2
69,Гранд
70,Давид
71,Дацун
72,ДацунPL
73,Джерси
74,ЕвропаД
75,Зeбра 10/5/3
76,Зeбра 11/11/5
77,Зeбра 13/13/5
78,Зeбра 15/15/3
79,Зeбра 22/15/3
80,Зeбра 22/8/3
81,Зeбра 28/16/8
82,Зeбра 30/15/8
83,Зeбра 10/20/3
84,Зeбра 10/3/2
85,Зeбра 15/6/3
86,Зeбра 15/7/3
87,Зeбра 17/3/3
88,Зeбра 18/18/3
89,Зeбра 20/10/3
90,Зeбра 20/14/9
91,Зeбра 20/20/4
92,Зeбра 20/3/3
93,Зeбра 22/15/10
94,Зeбра 22/18/3
95,Зeбра 25/10/3
96,Зeбра 25/6/4
97,Зeбра 30/10/10
98,Зeбра 70/20/4
99,Зeбра 70/70/3
100,Йорк
101,Кантри4мм(без простр)
102,Кантри4мм(с простр)
103,Кантри8мм(без простр)
104,Кантри8мм(с простр)
105,КантриМ
106,Катрин
107,Квадро
108,Квадро2
109,КвадроR
110,Ливон
111,Линии
112,Лонгфорд
113,Марс
114,МГ-22
115,Натали
116,Пионер
117,ПионерPL
118,По образцу
119,по чертежу
120,Света
121,Спарта
122,Техно
123,Хаген S
124,Хаген SZ
125,Хаген10
126,Хаген12
127,Хаген15
128,Хаген19
129,Хаген20
130,Хаген22
131,Хаген25
132,Хаген30
133,Хаген30"Х"
134,Хаген40
135,Хаген5
136,Хаген50
